datetime;open;close;hma8;hma13;hma21;hma34;hma55;hma89;hma116;hma144;hma188;hma233;hma377;atr;adx;choppiness;fast_hma_spread;fast_hma_spread_atr;trend;event;lateral_filter;lateral_filter_reasons;reversal_cooldown_bars_remaining;last_reversal_fast_hmas_crossed;fast_hma_alignment;fast_hma_up_count;fast_hma_down_count;fast_hma_aligned_up;fast_hma_aligned_down;crossed_hmas;up_touched_hmas;down_touched_hmas;crossed_all_up;crossed_all_down;crossed_history;crossed_up;crossed_down;crossed_free_up;crossed_free_down;possivel_reversa;hma8_dir;hma8_angle_degrees;hma8_angle_percent;hma13_dir;hma13_angle_degrees;hma13_angle_percent;hma21_dir;hma21_angle_degrees;hma21_angle_percent
2026-04-20 14:00:00;4795,75000;4787,88000;4794,53507;4795,07501;4794,32227;4794,05889;;;;;;;;10,25020;7,70540;63,87828;0,75273;0,07344;DOWNTREND;REVERSAL_TO_HMA34;False;;2;8,13,21;HMA8:DOWN|HMA13:DOWN|HMA21:DOWN;0;3;False;True;;;;;8,13,21,34;8,13,21,34;;8,13,21,34;;8,13,21,34;False;DOWN;4,21000;9.35%;DOWN;2,59000;5.76%;DOWN;0,56000;1.26%
2026-04-20 14:20:00;4787,86000;4791,06000;4791,09891;4793,75383;4793,87262;4793,84217;;;;;;;;9,90090;8,55439;62,41528;2,77372;0,28015;DOWNTREND;;False;;1;8,13,21;HMA8:DOWN|HMA13:DOWN|HMA21:DOWN;0;3;False;True;;;;;8,13,21,34;8,13,21,34;;;;;False;DOWN;-4,61000;10.25%;DOWN;2,21000;4.91%;DOWN;0,27000;0.61%
2026-04-20 14:40:00;4791,10000;4810,47000;4797,08787;4796,47303;4795,35970;4794,54116;;;;;;;;10,67583;9,20097;58,06489;1,72817;0,16188;DOWNTREND;;False;;0;8,13,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;;;;8,13,21,34;8,13,21,34;8,13,21,34;8,13,21,34;;8,13,21,34;;False;UP;0,55000;1.23%;UP;4,87000;10.83%;UP;1,28000;2.83%
2026-04-20 15:00:00;4810,54000;4814,64000;4807,41680;4802,21322;4798,56901;4796,19828;;;;;;;;10,82399;10,27123;50,96628;8,84778;0,81742;DOWNTREND;;False;;0;8,13,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;;;;8,13,21,34;8,13,21,34;8,13,21,34;;;;;False;UP;12,67000;28.15%;UP;8,29000;18.41%;UP;2,90000;6.44%
2026-04-20 15:20:00;4814,53000;4803,81000;4811,57239;4806,44112;4801,65004;4797,94780;;;;;;;;11,69227;11,82686;47,24755;9,92235;0,84862;DOWNTREND;;False;;0;8,13,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;8,13;;8,13;8,13,21,34;8,13,21,34;8,13,21,34;;8,13;;;False;UP;20,02000;44.48%;UP;9,44000;20.97%;UP;4,01000;8.91%
2026-04-20 15:40:00;4803,81000;4803,41000;4810,57907;4808,42609;4804,13285;4799,67221;;;;;;;;11,38283;13,27138;47,71630;6,44622;0,56631;DOWNTREND;;False;;0;8,13,21;HMA8:DOWN|HMA13:UP|HMA21:UP;2;1;True;False;8,13,21;;8,13,21;8,13,21,34;8,13,21,34;8,13,21,34;;21;;;False;DOWN;23,16000;51.47%;UP;10,23000;22.72%;UP;5,48000;12.17%
2026-04-20 16:00:00;4804,03000;4815,94000;4811,80152;4811,61660;4807,00599;4801,91059;;;;;;;;11,82548;15,29359;50,94143;4,79553;0,40553;DOWNTREND;;False;;0;8,13,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;8,13,21;;8,13,21;8,13,21,34;8,13,21,34;8,13,21,34;8,13,21;;;;False;UP;17,28000;38.4%;UP;13,12000;29.16%;UP;6,85000;15.23%
2026-04-20 16:20:00;4815,96000;4818,03000;4815,07943;4815,50858;4810,24414;4804,45802;;;;;;;;11,78509;17,71793;48,24306;5,26444;0,44670;DOWNTREND;;False;;0;8,13,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;8,13,21;;8,13,21;8,13,21,34;8,13,21,34;8,13,21,34;;;;;False;UP;9,23000;20.52%;UP;17,10000;38.0%;UP;8,27000;18.39%
2026-04-20 16:40:00;4818,12000;4817,86000;4818,46974;4818,48866;4813,73484;4807,16302;;;;;;;;11,49973;19,96911;48,72364;4,75382;0,41339;DOWNTREND;;False;;0;8,13,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;8,13,21;;8,13,21;8,13,21,34;8,13,21,34;8,13,21,34;;8,13;;;False;UP;8,53000;18.95%;UP;17,70000;39.33%;UP;9,91000;22.03%
2026-04-20 17:00:00;4818,10000;4816,66000;4820,02715;4819,96954;4816,90233;4809,87125;;;;;;;;11,49689;20,52641;51,40914;3,12482;0,27180;DOWNTREND;;False;;0;8,13,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;8,13,21;;8,13,21;8,13,21,34;8,13,21,34;8,13,21,34;;21;;;False;UP;11,61000;25.8%;UP;14,43000;32.08%;UP;11,08000;24.61%
2026-04-20 17:20:00;4816,67000;4814,15000;4818,43496;4820,26069;4819,07941;4812,26547;;;;;;;;11,68711;21,69771;51,33881;1,82573;0,15622;DOWNTREND;;False;;0;8,13,21;HMA8:DOWN|HMA13:UP|HMA21:UP;2;1;True;False;8,13,21;;8,13,21;8,13,21,34;8,13,21,34;8,13,21,34;;;;;False;DOWN;8,08000;17.95%;UP;11,15000;24.78%;UP;11,96000;26.58%
2026-04-20 17:40:00;4814,21000;4805,34000;4812,62641;4817,76973;4819,27011;4813,76185;;;;;;;;12,47875;20,45578;54,17948;6,64370;0,53240;NEUTRAL;TREND_EXHAUSTED;False;;0;8,13,21;HMA8:DOWN|HMA13:DOWN|HMA21:UP;1;2;False;True;;;;;8,34;8;;8,34;;;False;DOWN;-2,81000;6.25%;DOWN;7,11000;15.81%;UP;11,50000;25.56%
2026-04-20 18:00:00;4805,73000;4798,01000;4803,97089;4811,96384;4817,11902;4814,12885;;;;;;;;12,62884;19,30256;56,29795;13,14813;1,04112;NEUTRAL;;False;;0;8,13,21;HMA8:DOWN|HMA13:DOWN|HMA21:DOWN;0;3;False;True;;;;;8,34;8;;8;;;False;DOWN;-16,01000;35.59%;DOWN;0,26000;0.58%;DOWN;9,78000;21.72%
2026-04-20 18:20:00;4798,01000;4802,06000;4798,76281;4806,04812;4814,07746;4813,85900;;;;;;;;12,66535;18,40357;58,40736;15,31465;1,20918;NEUTRAL;;False;;0;8,13,21;HMA8:DOWN|HMA13:DOWN|HMA21:DOWN;0;3;False;True;;;;8;8,34;8;8;;8;;False;DOWN;-22,77000;50.6%;DOWN;-7,10000;15.77%;DOWN;6,98000;15.51%
2026-04-20 18:40:00;4802,02000;4799,72000;4796,62470;4801,08729;4810,64646;4813,03026;;;;;;;;12,40997;17,47974;58,34790;14,02176;1,12988;DOWNTREND;REVERSAL_TO_HMA13;False;;0;13;HMA8:DOWN|HMA13:DOWN|HMA21:DOWN;0;3;False;True;;;;;13;13;;13;;13;False;DOWN;-23,72000;52.71%;DOWN;-13,15000;29.23%;DOWN;4,15000;9.21%
2026-04-20 19:00:00;4799,81000;4796,81000;4795,49950;4797,21693;4807,00005;4811,73454;;;;;;;;12,14711;16,34380;62,34462;11,50055;0,94677;DOWNTREND;;False;;0;13;HMA8:DOWN|HMA13:DOWN|HMA21:DOWN;0;3;False;True;13;;13;;13;13;;13;;;False;DOWN;-19,42000;43.15%;DOWN;-17,34000;38.53%;DOWN;1,35000;3.0%
2026-04-20 19:20:00;4796,85000;4799,99000;4796,59493;4795,20238;4803,74630;4810,37702;;;;;;;;11,82660;15,57845;62,04712;8,54392;0,72243;DOWNTREND;;False;;0;13;HMA8:UP|HMA13:DOWN|HMA21:DOWN;1;2;False;True;13;;13;13;13;13;13;;13;;True;UP;-8,86000;19.69%;DOWN;-19,45000;43.22%;DOWN;-1,58000;3.51%
2026-04-20 19:40:00;4800,00000;4805,53000;4800,21398;4796,09911;4801,54625;4809,33222;;;;;;;;11,51185;15,07356;60,91649;5,44714;0,47318;UPTREND;REVERSAL_TO_HMA21;False;;2;8,21;HMA8:UP|HMA13:UP|HMA21:DOWN;2;1;True;False;;;;8,21;;8;8,21;;8,21;;False;UP;1,81000;4.01%;UP;-17,42000;38.71%;DOWN;-4,32000;9.6%
2026-04-20 20:00:00;4805,80000;4809,13000;4805,32043;4799,47217;4800,74835;4808,66217;;;;;;;;11,16886;15,02296;57,24053;5,84825;0,52362;UPTREND;ADVANCE_HMA34;False;;1;8,21;HMA8:UP|HMA13:UP|HMA21:DOWN;2;1;True;False;34;34;;8,21,34;;8;34;;34;;False;UP;11,01000;24.48%;UP;-10,56000;23.46%;DOWN;-6,63000;14.74%
2026-04-20 20:20:00;4809,16000;4809,84000;4809,71167;4803,60748;4801,15990;4808,28207;;;;;;;;10,87108;15,12648;57,15502;8,55176;0,78665;UPTREND;;False;;0;8,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;8,34;8,34;;8,21,34;;8;8;;;;False;UP;18,10000;40.22%;UP;-2,14000;4.76%;UP;-8,24000;18.31%
2026-04-20 20:40:00;4809,85000;4806,79000;4810,73702;4806,71186;4802,03967;4807,95594;;;;;;;;10,53886;15,22261;54,35257;8,69735;0,82526;UPTREND;;False;;0;8,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;8,34;8,34;;8,21,34;8,34;8;;8,34;;8,34;True;UP;18,55000;41.21%;UP;5,08000;11.3%;UP;-9,18000;20.41%
2026-04-20 21:00:00;4806,91000;4813,62000;4812,23470;4810,06103;4803,89255;4808,01941;4809,97508;;;;;;;10,43466;15,71934;53,79024;8,34215;0,79947;NEUTRAL;TREND_EXHAUSTED;False;;0;8,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;;;;8,13,34,55;;8,13,34;8,13,34,55;;13,34,55;;False;UP;16,07000;35.7%;UP;11,59000;25.76%;UP;-8,38000;18.63%
2026-04-20 21:20:00;4813,62000;4812,12000;4813,23339;4812,62258;4806,10913;4808,22559;4810,47413;;;;;;;10,00861;16,18059;52,91748;7,12426;0,71181;NEUTRAL;;False;;0;8,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;;;;8,13,34,55;8,13;8,13,34;;8,13;;8,13;False;UP;11,18000;24.85%;UP;16,18000;35.95%;UP;-6,28000;13.95%
2026-04-20 21:40:00;4812,15000;4814,08000;4814,09681;4814,59314;4808,57414;4808,59954;4811,06347;;;;;;;9,60657;16,71333;50,98631;6,01900;0,62655;NEUTRAL;;False;;0;8,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;;;;8,13,34,55;8,13;8,13,34;8,13;;;;False;UP;6,51000;14.47%;UP;17,79000;39.53%;UP;-3,28000;7.29%
2026-04-20 22:00:00;4814,06000;4818,65000;4816,76798;4816,63201;4811,50095;4809,37134;4811,80545;;;;;;;9,44753;17,71578;56,39384;5,26704;0,55750;NEUTRAL;;False;;0;8,21;HMA8:UP|HMA13:UP|HMA21:UP;3;0;True;False;;;;8,13,34,55;8,13;8,13,34;8,13;;;;False;UP;9,07000;20.15%;UP;16,84000;37.43%;UP;0,52000;1.15%
